dataset	row	bits	method	rerank_overfetch	rerank_storage	ndcg_at_10	ndcg_at_100	mrr_at_10	precision_at_1	precision_at_5	precision_at_10	hit_at_1	hit_at_5	hit_at_10	map_at_10	map_at_100	recall_at_10	recall_at_100	ndcg_at_10_delta	recall_at_100_delta	vector_bytes	dense_vector_bytes	rerank_sidecar_bytes	total_vector_bytes	compression_ratio	total_compression_ratio	scores_per_second	query_latency_p50_ms	query_latency_p95_ms	query_latency_p99_ms	query_latency_max_ms	docs_per_second	rerank_scores
fiqa	dense		float32			0.121261	0.168102	0.154356	0.092593	0.052469	0.035957	0.092593	0.237654	0.302469	0.084089	0.092517	0.160989	0.351678			58982400	58982400	0	58982400	1.000000	1.000000	6317746.48	8.969154	10.120504	10.998643	12.941465		
fiqa	quantized	2	turboquant_ip_b2	0		0.097102	0.144036	0.123058	0.074074	0.041049	0.029321	0.074074	0.188272	0.254630	0.065540	0.074031	0.134702	0.322333	-0.024159	-0.029345	4147200	58982400	0	4147200	14.222222	14.222222	21319104.68	2.629202	3.001346	3.150085	3.421990	78185.30	0
fiqa	quantized_rerank	2	turboquant_ip_b2_overfetch200_fp16_rerank	200	fp16	0.121341	0.166519	0.154512	0.092593	0.052469	0.035957	0.092593	0.237654	0.302469	0.084164	0.092460	0.160989	0.344248	+0.000080	-0.007431	4147200	58982400	29491200	33638400	14.222222	1.753425	9281336.80	3.319205	3.776888	3.946792	4.146189	78185.30	129600
fiqa	quantized	3	turboquant_ip_b3	0		0.114296	0.160873	0.145199	0.091049	0.050000	0.034877	0.091049	0.220679	0.288580	0.078615	0.087133	0.153596	0.341406	-0.006965	-0.010272	5990400	58982400	0	5990400	9.846154	9.846154	14349837.01	3.698753	5.285065	10.135532	18.096791	78682.57	0
fiqa	quantized_rerank	3	turboquant_ip_b3_overfetch200_fp16_rerank	200	fp16	0.121328	0.167557	0.154512	0.092593	0.052469	0.035957	0.092593	0.237654	0.302469	0.084146	0.092540	0.160989	0.348176	+0.000067	-0.003502	5990400	58982400	29491200	35481600	9.846154	1.662338	6716312.63	4.328358	4.958945	5.273895	5.713982	78682.57	129600
fiqa	quantized	4	turboquant_ip_b4	0		0.113948	0.160070	0.142692	0.084877	0.046605	0.035648	0.084877	0.216049	0.299383	0.076670	0.084831	0.158300	0.344246	-0.007313	-0.007433	7833600	58982400	0	7833600	7.529412	7.529412	745824.58	75.998564	90.271229	103.850310	189.967212	57951.60	0
fiqa	quantized_rerank	4	turboquant_ip_b4_overfetch200_fp16_rerank	200	fp16	0.121328	0.168173	0.154512	0.092593	0.052469	0.035957	0.092593	0.237654	0.302469	0.084146	0.092576	0.160989	0.351678	+0.000067	+0.000000	7833600	58982400	29491200	37324800	7.529412	1.580247	369673.79	77.498204	92.815338	102.655900	157.286460	57951.60	129600
fiqa	quantized	5	turboquant_ip_b5	0		0.121378	0.167964	0.156200	0.097222	0.052160	0.035802	0.097222	0.237654	0.299383	0.084427	0.092729	0.159845	0.349159	+0.000117	-0.002519	9676800	58982400	0	9676800	6.095238	6.095238	8848132.52	6.135059	7.771225	11.692464	22.852493	58801.25	0
fiqa	quantized_rerank	5	turboquant_ip_b5_overfetch200_fp16_rerank	200	fp16	0.121328	0.168172	0.154512	0.092593	0.052469	0.035957	0.092593	0.237654	0.302469	0.084146	0.092575	0.160989	0.351678	+0.000067	+0.000000	9676800	58982400	29491200	39168000	6.095238	1.505882	3974801.03	7.667870	9.085600	11.019918	16.327259	58801.25	129600
fiqa	quantized	8	turboquant_ip_b8	0		0.121658	0.168362	0.155054	0.094136	0.052469	0.036111	0.094136	0.237654	0.302469	0.084387	0.092772	0.161246	0.351678	+0.000398	+0.000000	15206400	58982400	0	15206400	3.878788	3.878788	386142.04	146.644941	166.152144	190.778235	324.424356	33362.26	0
fiqa	quantized_rerank	8	turboquant_ip_b8_overfetch200_fp16_rerank	200	fp16	0.121328	0.168172	0.154512	0.092593	0.052469	0.035957	0.092593	0.237654	0.302469	0.084146	0.092575	0.160989	0.351678	+0.000067	+0.000000	15206400	58982400	29491200	44697600	3.878788	1.319588	194328.75	145.940551	165.556178	185.391501	217.538701	33362.26	129600
