dataset	row	bits	method	rerank_overfetch	rerank_storage	ndcg_at_10	ndcg_at_100	mrr_at_10	precision_at_1	precision_at_5	precision_at_10	hit_at_1	hit_at_5	hit_at_10	map_at_10	map_at_100	recall_at_10	recall_at_100	ndcg_at_10_delta	recall_at_100_delta	vector_bytes	dense_vector_bytes	rerank_sidecar_bytes	total_vector_bytes	compression_ratio	total_compression_ratio	scores_per_second	query_latency_p50_ms	query_latency_p95_ms	query_latency_p99_ms	query_latency_max_ms	docs_per_second	rerank_scores
nfcorpus	dense		float32			0.205746	0.210834	0.335793	0.263158	0.206811	0.170898	0.263158	0.424149	0.486068	0.149287	0.104034	0.089976	0.242066			3720192	3720192	0	3720192	1.000000	1.000000	7236936.69	0.473288	0.551122	0.632588	0.764308		
nfcorpus	quantized	2	turboquant_ip_b2	0		0.178136	0.187832	0.304544	0.229102	0.169040	0.151084	0.229102	0.390093	0.470588	0.122674	0.086320	0.076531	0.219816	-0.027610	-0.022250	261576	3720192	0	261576	14.222222	14.222222	11875652.92	0.280616	0.367284	0.494685	0.881108	72978.54	0
nfcorpus	quantized_rerank	2	turboquant_ip_b2_overfetch200_fp16_rerank	200	fp16	0.205846	0.210822	0.335793	0.263158	0.208050	0.170898	0.263158	0.424149	0.486068	0.149444	0.104052	0.089976	0.242125	+0.000100	+0.000059	261576	3720192	1860096	2121672	14.222222	1.753425	3547261.66	0.720139	0.866975	1.099398	1.615282	72978.54	64600
nfcorpus	quantized	3	turboquant_ip_b3	0		0.198657	0.201435	0.339128	0.275542	0.193808	0.163467	0.275542	0.436533	0.482972	0.137524	0.095375	0.084183	0.230446	-0.007089	-0.011620	377832	3720192	0	377832	9.846154	9.846154	10065987.15	0.338624	0.395649	0.527860	1.036776	72046.69	0
nfcorpus	quantized_rerank	3	turboquant_ip_b3_overfetch200_fp16_rerank	200	fp16	0.205746	0.211391	0.335793	0.263158	0.206811	0.170898	0.263158	0.424149	0.486068	0.149287	0.104089	0.089976	0.244899	+0.000000	+0.002833	377832	3720192	1860096	2237928	9.846154	1.662338	3211770.04	0.772552	0.927141	1.125800	2.457032	72046.69	64600
nfcorpus	quantized	4	turboquant_ip_b4	0		0.203175	0.207991	0.333734	0.256966	0.200619	0.168731	0.256966	0.427245	0.486068	0.144622	0.101331	0.090917	0.239921	-0.002571	-0.002145	494088	3720192	0	494088	7.529412	7.529412	713751.30	4.968930	5.658839	6.696890	7.248209	55986.41	0
nfcorpus	quantized_rerank	4	turboquant_ip_b4_overfetch200_fp16_rerank	200	fp16	0.205746	0.210865	0.335793	0.263158	0.206811	0.170898	0.263158	0.424149	0.486068	0.149287	0.104040	0.089976	0.242144	+0.000000	+0.000078	494088	3720192	1860096	2354184	7.529412	1.580247	358002.05	5.515046	6.103171	6.313903	6.434924	55986.41	64600
nfcorpus	quantized	5	turboquant_ip_b5	0		0.205244	0.209814	0.331094	0.256966	0.204954	0.170898	0.256966	0.424149	0.476780	0.149219	0.103795	0.089952	0.240233	-0.000502	-0.001833	610344	3720192	0	610344	6.095238	6.095238	7024829.39	0.481631	0.581745	0.777656	1.312288	60867.09	0
nfcorpus	quantized_rerank	5	turboquant_ip_b5_overfetch200_fp16_rerank	200	fp16	0.205746	0.210833	0.335793	0.263158	0.206811	0.170898	0.263158	0.424149	0.486068	0.149287	0.104034	0.089976	0.242066	+0.000000	+0.000000	610344	3720192	1860096	2470440	6.095238	1.505882	2496011.52	0.945201	1.182335	1.392674	2.530253	60867.09	64600
nfcorpus	quantized	8	turboquant_ip_b8	0		0.206504	0.210756	0.333382	0.256966	0.208669	0.172755	0.256966	0.427245	0.489164	0.149783	0.103998	0.090944	0.241966	+0.000758	-0.000100	959112	3720192	0	959112	3.878788	3.878788	372276.53	9.516593	11.079636	11.569398	12.087027	39011.64	0
nfcorpus	quantized_rerank	8	turboquant_ip_b8_overfetch200_fp16_rerank	200	fp16	0.205746	0.210833	0.335793	0.263158	0.206811	0.170898	0.263158	0.424149	0.486068	0.149287	0.104034	0.089976	0.242066	+0.000000	+0.000000	959112	3720192	1860096	2819208	3.878788	1.319588	192533.77	9.897870	11.433293	11.822668	11.923349	39011.64	64600
