dataset	row	bits	method	rerank_overfetch	rerank_storage	ndcg_at_10	ndcg_at_100	mrr_at_10	precision_at_1	precision_at_5	precision_at_10	hit_at_1	hit_at_5	hit_at_10	map_at_10	map_at_100	recall_at_10	recall_at_100	ndcg_at_10_delta	recall_at_100_delta	vector_bytes	dense_vector_bytes	rerank_sidecar_bytes	total_vector_bytes	compression_ratio	total_compression_ratio	scores_per_second	query_latency_p50_ms	query_latency_p95_ms	query_latency_p99_ms	query_latency_max_ms	docs_per_second	rerank_scores
scifact	dense		float32			0.564538	0.594279	0.541522	0.476667	0.137333	0.073333	0.476667	0.623333	0.663333	0.531409	0.537165	0.656222	0.796444			5307392	5307392	0	5307392	1.000000	1.000000	8707346.07	0.572745	0.680049	0.828460	1.026567		
scifact	quantized	2	turboquant_ip_b2	0		0.499551	0.529762	0.465841	0.386667	0.124000	0.069667	0.386667	0.570000	0.633333	0.457256	0.463436	0.623444	0.763667	-0.064987	-0.032778	373176	5307392	0	373176	14.222222	14.222222	16273136.17	0.305803	0.350619	0.409104	1.123424	88485.07	0
scifact	quantized_rerank	2	turboquant_ip_b2_overfetch200_fp16_rerank	200	fp16	0.564586	0.592928	0.541569	0.476667	0.137333	0.073333	0.476667	0.623333	0.663333	0.531456	0.537105	0.656222	0.788111	+0.000048	-0.008333	373176	5307392	2653696	3026872	14.222222	1.753425	5113385.50	0.681026	0.848866	0.937912	2.057723	88485.07	60000
scifact	quantized	3	turboquant_ip_b3	0		0.535880	0.562219	0.505074	0.426667	0.134000	0.073000	0.426667	0.616667	0.660000	0.494563	0.499753	0.652889	0.776444	-0.028658	-0.020000	539032	5307392	0	539032	9.846154	9.846154	13311234.63	0.374247	0.415645	0.601646	1.017975	86092.93	0
scifact	quantized_rerank	3	turboquant_ip_b3_overfetch200_fp16_rerank	200	fp16	0.564538	0.592680	0.541522	0.476667	0.137333	0.073333	0.476667	0.623333	0.663333	0.531409	0.537030	0.656222	0.786444	+0.000000	-0.010000	539032	5307392	2653696	3192728	9.846154	1.662338	4228196.93	0.817816	1.030570	1.180347	2.607328	86092.93	60000
scifact	quantized	4	turboquant_ip_b4	0		0.549038	0.578915	0.523571	0.453333	0.134667	0.072333	0.453333	0.616667	0.653333	0.513957	0.520374	0.646222	0.779778	-0.015499	-0.016667	704888	5307392	0	704888	7.529412	7.529412	721599.97	7.073392	7.818504	8.129371	8.704263	58596.74	0
scifact	quantized_rerank	4	turboquant_ip_b4_overfetch200_fp16_rerank	200	fp16	0.564538	0.594278	0.541522	0.476667	0.137333	0.073333	0.476667	0.623333	0.663333	0.531409	0.537165	0.656222	0.796444	+0.000000	+0.000000	704888	5307392	2653696	3358584	7.529412	1.580247	363138.27	7.513114	8.253170	8.828942	8.950590	58596.74	60000
scifact	quantized	5	turboquant_ip_b5	0		0.558901	0.591299	0.537471	0.473333	0.136000	0.072333	0.473333	0.623333	0.656667	0.525952	0.532798	0.647889	0.796444	-0.005637	+0.000000	870744	5307392	0	870744	6.095238	6.095238	7673287.19	0.633761	0.836084	0.959882	1.605182	63491.91	0
scifact	quantized_rerank	5	turboquant_ip_b5_overfetch200_fp16_rerank	200	fp16	0.564538	0.594278	0.541522	0.476667	0.137333	0.073333	0.476667	0.623333	0.663333	0.531409	0.537165	0.656222	0.796444	+0.000000	+0.000000	870744	5307392	2653696	3524440	6.095238	1.505882	2905272.36	1.115951	1.288156	1.433956	2.569172	63491.91	60000
scifact	quantized	8	turboquant_ip_b8	0		0.564426	0.594164	0.541430	0.476667	0.137333	0.073333	0.476667	0.623333	0.663333	0.531280	0.537027	0.656222	0.796444	-0.000112	+0.000000	1368312	5307392	0	1368312	3.878788	3.878788	349971.94	14.566625	16.093871	16.780340	24.242409	34853.30	0
scifact	quantized_rerank	8	turboquant_ip_b8_overfetch200_fp16_rerank	200	fp16	0.564538	0.594278	0.541522	0.476667	0.137333	0.073333	0.476667	0.623333	0.663333	0.531409	0.537165	0.656222	0.796444	+0.000000	+0.000000	1368312	5307392	2653696	4022008	3.878788	1.319588	180464.03	14.852292	16.040063	16.543000	17.234208	34853.30	60000
